index,ID A,ID B,Resultado
127,1,50,1
297,1,118,1
298,1,118,1
84,2,11,0
0,3,4,1
34,3,76,1
91,4,11,0
144,4,57,0
41,4,88,0
49,4,106,0
51,4,108,0
290,4,111,0
74,4,140,0
257,5,13,0
258,5,13,1
79,5,98,1
66,6,10,0
23,6,38,0
181,6,124,0
1,7,8,1
128,7,25,1
221,7,49,0
279,7,59,0
88,7,88,0
50,7,106,0
243,8,4,1
244,8,4,0
245,8,4,1
275,8,4,1
4,8,18,1
194,8,18,1
222,8,18,1
223,8,18,0
224,8,18,0
225,8,18,1
276,8,18,0
277,8,18,1
301,8,18,1
96,11,18,1
22,12,23,0
13,12,27,0
94,12,43,1
90,14,12,0
182,14,12,1
184,14,12,1
185,14,12,1
208,14,12,1
210,14,12,1
212,14,101,0
80,15,10,1
178,15,126,0
180,15,130,0
3,16,17,1
169,16,21,0
85,16,138,0
8,17,23,1
246,18,8,0
138,18,25,1
24,18,59,0
134,18,72,1
36,18,76,0
172,18,113,0
174,18,113,0
83,18,140,0
262,19,135,1
101,19,138,1
6,20,17,0
186,20,61,1
7,21,22,1
203,22,105,1
214,22,105,1
215,22,105,1
216,22,105,1
9,24,12,0
273,24,35,0
135,25,36,1
97,25,97,0
10,26,12,1
98,26,12,1
269,26,43,1
270,26,43,1
177,26,105,1
11,27,18,1
183,27,18,1
310,27,18,1
14,27,35,0
15,27,35,0
16,27,35,0
304,27,35,0
305,27,35,0
306,27,35,0
307,27,35,0
308,27,35,0
309,27,35,0
12,28,29,0
234,28,59,1
299,29,75,0
139,30,74,1
131,30,110,1
110,30,112,1
115,30,112,0
123,30,112,1
124,30,115,1
118,30,131,1
120,30,131,1
263,31,70,0
227,32,20,0
109,33,18,0
111,33,36,1
102,33,104,0
106,34,141,0
27,35,43,0
163,35,43,0
193,35,43,1
226,35,43,1
242,35,43,1
249,35,43,1
250,35,43,1
271,35,43,1
272,35,43,1
274,35,43,1
291,35,43,1
292,35,43,1
316,35,43,1
31,35,82,0
229,35,93,1
231,35,93,0
219,35,106,0
89,36,11,0
165,36,48,0
196,36,95,0
278,36,95,0
173,36,105,0
17,37,17,1
52,37,52,1
18,38,39,1
188,39,127,1
2,40,10,1
19,42,43,0
37,42,82,0
162,43,35,0
313,44,47,0
312,44,99,1
113,44,138,0
213,45,9,0
260,45,9,1
296,45,109,1
252,46,13,1
238,46,105,1
20,48,49,0
54,49,111,0
150,50,1,0
117,50,51,0
28,52,63,0
247,52,106,1
21,53,54,1
302,55,59,1
254,55,105,1
283,55,105,0
300,55,105,0
133,55,119,0
81,55,138,0
156,56,23,0
121,56,57,1
141,57,36,1
264,57,92,0
187,58,51,0
122,60,125,0
280,61,9,1
233,61,123,0
294,62,32,1
25,62,63,0
166,64,4,1
235,64,4,1
289,64,4,1
167,64,18,0
303,64,18,1
26,65,66,0
42,66,93,1
108,67,30,0
241,67,74,1
218,67,110,0
239,67,116,1
45,68,76,1
130,69,70,1
137,69,73,1
318,70,43,1
201,70,105,1
159,71,41,0
158,71,99,0
136,72,4,1
132,72,18,0
140,75,7,1
142,75,7,1
29,76,4,1
43,76,18,1
46,76,102,0
40,77,92,0
146,78,9,0
143,78,32,1
240,78,32,1
152,78,81,0
30,79,120,0
286,80,9,0
267,80,49,0
145,80,81,1
314,80,97,1
259,81,9,1
315,81,45,0
148,81,85,1
56,82,42,1
32,83,7,1
199,83,97,1
147,84,28,1
192,85,9,0
261,85,9,0
189,85,45,0
149,86,58,0
153,86,75,0
317,87,23,0
35,87,79,0
168,87,120,0
284,87,120,1
197,88,7,1
287,88,61,1
205,88,139,1
206,88,139,1
38,89,68,1
154,90,84,0
157,90,86,0
230,91,54,0
39,91,77,0
125,94,125,0
198,95,4,0
164,95,18,0
170,96,28,0
44,96,97,1
220,97,49,1
265,97,49,0
161,97,83,1
87,98,13,0
160,100,84,0
93,101,12,1
67,102,89,1
47,102,103,0
48,104,105,1
175,105,7,1
176,105,18,1
200,105,101,1
204,105,101,0
209,105,101,1
253,105,101,0
282,105,101,0
105,107,31,1
104,107,34,1
95,107,121,1
99,107,141,0
237,108,28,1
53,109,88,1
217,110,67,0
5,112,40,0
171,113,36,1
202,113,36,1
112,114,41,0
236,114,100,0
55,115,116,1
65,116,130,0
68,116,130,0
72,116,130,0
107,117,138,0
207,118,135,0
151,119,16,1
116,119,101,1
228,120,32,0
285,120,60,0
288,120,65,1
256,121,136,0
57,122,124,1
70,122,130,0
195,123,89,1
103,124,30,0
126,125,62,1
129,125,137,1
58,126,122,0
248,127,39,1
155,127,73,0
179,128,30,1
59,128,122,1
62,128,122,1
33,129,12,0
281,129,53,0
60,130,116,0
76,130,116,1
77,130,116,1
293,130,116,1
295,130,116,1
61,131,132,1
64,131,132,0
190,131,132,1
191,131,132,0
251,132,103,1
69,132,122,1
311,133,4,1
63,133,134,1
232,134,4,0
266,135,47,0
211,135,117,0
268,135,136,0
119,137,94,1
71,138,97,1
82,139,9,1
114,139,45,0
73,139,88,1
75,139,88,0
78,140,2,1
100,141,31,1
255,142,19,1
86,142,118,1
92,142,138,1
